cycle   1:  2786 tokens, 5 strands, 6 losses, ifn=True
cycle   2:  3710 tokens, 5 strands, 6 losses, ifn=True
cycle   3:  5261 tokens, 6 strands, 5 losses, ifn=True
cycle   4:  4812 tokens, 5 strands, 5 losses, ifn=True
cycle   5:  5361 tokens, 5 strands, 5 losses, ifn=True
cycle   6:  6435 tokens, 6 strands, 6 losses, ifn=True
cycle   7:  4704 tokens, 5 strands, 7 losses, ifn=True
cycle   8:  6809 tokens, 6 strands, 8 losses, ifn=True
cycle   9:  7820 tokens, 7 strands, 8 losses, ifn=True
cycle  10:  8269 tokens, 6 strands, 8 losses, ifn=True
cycle  11:  5520 tokens, 7 strands, 0 losses, ifn=False
cycle  12:  6798 tokens, 7 strands, 5 losses, ifn=True
cycle  13:  5020 tokens, 9 strands, 7 losses, ifn=True
cycle  14:  4861 tokens, 9 strands, 7 losses, ifn=True
cycle  15:  6732 tokens, 9 strands, 7 losses, ifn=True
cycle  16:  8310 tokens, 10 strands, 6 losses, ifn=True
cycle  17:  7960 tokens, 9 strands, 6 losses, ifn=True
cycle  18:  9698 tokens, 10 strands, 6 losses, ifn=True
cycle  19:  7876 tokens, 8 strands, 6 losses, ifn=True
cycle  20:  7831 tokens, 7 strands, 6 losses, ifn=True
cycle  21:  8944 tokens, 7 strands, 7 losses, ifn=True
cycle  22: 10057 tokens, 7 strands, 6 losses, ifn=True
cycle  23: 11674 tokens, 8 strands, 6 losses, ifn=True
cycle  24:  7358 tokens, 5 strands, 5 losses, ifn=True
cycle  25:  2684 tokens, 0 strands, 6 losses, ifn=True
cycle  26:  5085 tokens, 4 strands, 6 losses, ifn=True
cycle  27:  8841 tokens, 5 strands, 7 losses, ifn=True
cycle  28:  8676 tokens, 5 strands, 7 losses, ifn=True
cycle  29:  6738 tokens, 6 strands, 0 losses, ifn=False
cycle  30:  4887 tokens, 4 strands, 5 losses, ifn=True
cycle  31:  4560 tokens, 4 strands, 5 losses, ifn=True
cycle  32:  4722 tokens, 4 strands, 6 losses, ifn=True
cycle  33:  5527 tokens, 4 strands, 6 losses, ifn=True
cycle  34:  6729 tokens, 5 strands, 6 losses, ifn=True
cycle  35:  7314 tokens, 5 strands, 5 losses, ifn=True
cycle  36:  8021 tokens, 5 strands, 6 losses, ifn=True
cycle  37:  8756 tokens, 4 strands, 6 losses, ifn=True
cycle  38:  6792 tokens, 4 strands, 7 losses, ifn=True
cycle  39:  5591 tokens, 4 strands, 0 losses, ifn=False
cycle  40:  5922 tokens, 4 strands, 6 losses, ifn=True
cycle  41:  6953 tokens, 5 strands, 6 losses, ifn=True
cycle  42:  9155 tokens, 7 strands, 6 losses, ifn=True
cycle  43:  6496 tokens, 6 strands, 5 losses, ifn=True
cycle  44:  7060 tokens, 5 strands, 6 losses, ifn=True
cycle  45:  5285 tokens, 5 strands, 0 losses, ifn=False
cycle  46:  5328 tokens, 5 strands, 0 losses, ifn=False
cycle  47:  6771 tokens, 4 strands, 0 losses, ifn=False
cycle  48:  9276 tokens, 4 strands, 5 losses, ifn=True
cycle  49:  7991 tokens, 4 strands, 5 losses, ifn=True
cycle  50:  6452 tokens, 5 strands, 0 losses, ifn=False
cycle  51: 10427 tokens, 5 strands, 5 losses, ifn=True
cycle  52:  7267 tokens, 6 strands, 6 losses, ifn=True
cycle  53:  8769 tokens, 7 strands, 8 losses, ifn=True
cycle  54: 11330 tokens, 8 strands, 9 losses, ifn=True
cycle  55: 11437 tokens, 7 strands, 10 losses, ifn=True
cycle  56:  9601 tokens, 7 strands, 10 losses, ifn=True
cycle  57: 11760 tokens, 6 strands, 10 losses, ifn=True
cycle  58: 12323 tokens, 6 strands, 10 losses, ifn=True
cycle  59:  7293 tokens, 4 strands, 0 losses, ifn=False
cycle  60:  6402 tokens, 4 strands, 4 losses, ifn=True
cycle  61:  5325 tokens, 4 strands, 0 losses, ifn=False
cycle  62:  7407 tokens, 4 strands, 5 losses, ifn=True
cycle  63:  9662 tokens, 4 strands, 5 losses, ifn=True
cycle  64: 11922 tokens, 5 strands, 6 losses, ifn=True
cycle  65:  8547 tokens, 4 strands, 7 losses, ifn=True
cycle  66: 11797 tokens, 5 strands, 9 losses, ifn=True
cycle  67:  9360 tokens, 4 strands, 9 losses, ifn=True
cycle  68: 12198 tokens, 5 strands, 8 losses, ifn=True
cycle  69:  9697 tokens, 4 strands, 8 losses, ifn=True
cycle  70: 11107 tokens, 5 strands, 8 losses, ifn=True
cycle  71: 11544 tokens, 6 strands, 8 losses, ifn=True
cycle  72:  8304 tokens, 4 strands, 7 losses, ifn=True
cycle  73:  8711 tokens, 4 strands, 7 losses, ifn=True
cycle  74:  7868 tokens, 6 strands, 6 losses, ifn=True
cycle  75:  8675 tokens, 7 strands, 5 losses, ifn=True
cycle  76:  7704 tokens, 6 strands, 6 losses, ifn=True
cycle  77:  7723 tokens, 6 strands, 6 losses, ifn=True
cycle  78:  5963 tokens, 5 strands, 0 losses, ifn=False
cycle  79:  5947 tokens, 6 strands, 4 losses, ifn=True
cycle  80:  5220 tokens, 6 strands, 0 losses, ifn=False
cycle  81:  7899 tokens, 7 strands, 6 losses, ifn=True
cycle  82:    49 tokens, 0 strands, 0 losses, ifn=False
cycle  83:  1156 tokens, 2 strands, 4 losses, ifn=True
cycle  84:  1660 tokens, 3 strands, 4 losses, ifn=True
cycle  85:  2609 tokens, 4 strands, 5 losses, ifn=True
cycle  86:  2945 tokens, 4 strands, 6 losses, ifn=True
cycle  87:  4257 tokens, 4 strands, 8 losses, ifn=True
cycle  88:  4060 tokens, 4 strands, 8 losses, ifn=True
cycle  89:  4522 tokens, 4 strands, 10 losses, ifn=True
cycle  90:  6345 tokens, 5 strands, 10 losses, ifn=True
cycle  91:  3561 tokens, 4 strands, 0 losses, ifn=False
cycle  92:  4654 tokens, 4 strands, 4 losses, ifn=True
cycle  93:  4773 tokens, 5 strands, 5 losses, ifn=True
cycle  94:  5143 tokens, 5 strands, 5 losses, ifn=True
cycle  95:  5531 tokens, 5 strands, 4 losses, ifn=True
cycle  96:  5656 tokens, 7 strands, 5 losses, ifn=True
cycle  97:  5439 tokens, 6 strands, 5 losses, ifn=True
cycle  98:  5211 tokens, 5 strands, 5 losses, ifn=True
cycle  99:  5938 tokens, 5 strands, 5 losses, ifn=True
cycle 100:  6922 tokens, 5 strands, 5 losses, ifn=True
cycle 101:  4723 tokens, 5 strands, 0 losses, ifn=False
cycle 102:  5341 tokens, 4 strands, 4 losses, ifn=True
cycle 103:  5814 tokens, 4 strands, 4 losses, ifn=True
cycle 104:  7407 tokens, 5 strands, 6 losses, ifn=True
