cycle   1:   982 tokens, 2 strands, 2 losses, ifn=True
cycle   2:  2149 tokens, 3 strands, 4 losses, ifn=True
cycle   3:  2735 tokens, 4 strands, 4 losses, ifn=True
cycle   4:  3665 tokens, 5 strands, 5 losses, ifn=True
cycle   5:  5656 tokens, 6 strands, 6 losses, ifn=True
cycle   6:  6585 tokens, 6 strands, 8 losses, ifn=True
cycle   7:  7116 tokens, 6 strands, 8 losses, ifn=True
cycle   8:  5125 tokens, 5 strands, 0 losses, ifn=False
cycle   9:  6488 tokens, 5 strands, 5 losses, ifn=True
cycle  10:  1727 tokens, 0 strands, 6 losses, ifn=True
cycle  11:  1815 tokens, 4 strands, 0 losses, ifn=False
cycle  12:  2410 tokens, 4 strands, 3 losses, ifn=True
cycle  13:  3013 tokens, 4 strands, 5 losses, ifn=True
cycle  14:  3936 tokens, 5 strands, 6 losses, ifn=True
cycle  15:  3490 tokens, 4 strands, 5 losses, ifn=True
cycle  16:  3914 tokens, 5 strands, 5 losses, ifn=True
cycle  17:  3800 tokens, 5 strands, 5 losses, ifn=True
cycle  18:  4208 tokens, 5 strands, 5 losses, ifn=True
cycle  19:  4601 tokens, 5 strands, 5 losses, ifn=True
cycle  20:  5558 tokens, 6 strands, 5 losses, ifn=True
cycle  21:  5384 tokens, 5 strands, 5 losses, ifn=True
cycle  22:  5391 tokens, 5 strands, 6 losses, ifn=True
cycle  23:  6371 tokens, 6 strands, 6 losses, ifn=True
cycle  24:  6795 tokens, 6 strands, 7 losses, ifn=True
cycle  25:  8213 tokens, 7 strands, 8 losses, ifn=True
cycle  26:  9204 tokens, 7 strands, 9 losses, ifn=True
cycle  27:  9381 tokens, 6 strands, 10 losses, ifn=True
cycle  28: 11368 tokens, 8 strands, 10 losses, ifn=True
cycle  29:  9965 tokens, 7 strands, 10 losses, ifn=True
cycle  30: 10121 tokens, 8 strands, 10 losses, ifn=True
cycle  31:  7321 tokens, 6 strands, 10 losses, ifn=True
cycle  32:  5932 tokens, 7 strands, 0 losses, ifn=False
cycle  33:  4913 tokens, 6 strands, 0 losses, ifn=False
cycle  34:  4261 tokens, 6 strands, 0 losses, ifn=False
cycle  35:  4608 tokens, 5 strands, 4 losses, ifn=True
cycle  36:  4755 tokens, 4 strands, 5 losses, ifn=True
cycle  37:  3547 tokens, 4 strands, 0 losses, ifn=False
cycle  38:  5475 tokens, 4 strands, 4 losses, ifn=True
cycle  39:  3441 tokens, 4 strands, 0 losses, ifn=False
cycle  40:  3963 tokens, 4 strands, 4 losses, ifn=True
cycle  41:  4125 tokens, 4 strands, 4 losses, ifn=True
cycle  42:  4802 tokens, 5 strands, 4 losses, ifn=True
cycle  43:  3512 tokens, 5 strands, 0 losses, ifn=False
cycle  44:  4275 tokens, 5 strands, 4 losses, ifn=True
cycle  45:  3711 tokens, 4 strands, 5 losses, ifn=True
cycle  46:  4666 tokens, 5 strands, 5 losses, ifn=True
