content_loss,char_loss,transient_loss,loss_L1-1,loss_L2-3,loss_L4-9,loss_L10-21,loss_L22-max,resurrected_loss,recon,bracket,policy,seed,n,k
0.7533234859675036,0.7383468645016797,1.0,0.9753086419753086,0.9530201342281879,0.9824561403508771,0.5602836879432624,0.37254901960784315,0.9375,1.0553594714971508,38,head_only,0,38,1
0.3825701624815362,0.35445828667413215,0.5078431372549019,0.9629629629629629,0.6308724832214765,0.7631578947368421,0.0,0.0,0.75,0.23316246631959697,9.642540620384047,uniform,0,38,4
0.3205317577548006,0.329104843225084,0.2980392156862745,0.8148148148148148,0.42953020134228187,0.2719298245614035,0.19858156028368795,0.0,0.9375,0.4112958834063693,6.525849335302807,largest_diff,0,38,4
0.28064992614475626,0.30777575587905937,0.24509803921568626,0.9753086419753086,0.3288590604026846,0.07017543859649122,0.19148936170212766,0.0,0.875,0.36520146380904134,6.06794682422452,random,0,38,4
0.6558345642540621,0.645489221724524,0.8705882352941177,0.8271604938271605,0.697986577181208,0.9035087719298246,0.5425531914893617,0.3333333333333333,0.125,0.9869897767701761,22.418020679468242,random+head,0,38,4
0.4150664697193501,0.4486457166853303,0.5470588235294118,1.0,0.8859060402684564,0.5526315789473685,0.01773049645390071,0.0,0.8125,0.45820163944408976,11.53618906942393,random,1,38,4
0.4815361890694239,0.5010498320268757,0.6392156862745098,0.9753086419753086,0.9194630872483222,0.9210526315789473,0.01773049645390071,0.0,0.8125,0.4536109034943747,13.175775480059084,random+head,1,38,4
0.4121122599704579,0.44819078947368424,0.3627450980392157,1.0,0.6711409395973155,0.10526315789473684,0.3049645390070922,0.0,0.875,0.44360734073809566,8.677991137370753,random,2,38,4
0.4357459379615953,0.408454647256439,0.5784313725490197,0.9753086419753086,0.7718120805369127,0.7982456140350878,0.03546099290780142,0.0,0.8125,0.27153361324206904,13.97341211225997,random+head,2,38,4
0.45937961595273263,0.4787059070548712,0.6098039215686275,0.9382716049382716,0.8859060402684564,0.8947368421052632,0.0035460992907801418,0.0,0.8125,0.4658294649086343,13.01477104874446,random,3,38,4
0.35745937961595275,0.3606522956326988,0.4745098039215686,0.9753086419753086,0.8523489932885906,0.2894736842105263,0.010638297872340425,0.0,0.0625,0.2951928984212094,8.394387001477105,random+head,3,38,4
0.4446085672082718,0.41758818589025753,0.4627450980392157,0.8765432098765432,0.6375838926174496,0.7105263157894737,0.19148936170212766,0.0,0.875,0.36392785370669517,7.69423929098966,random,4,38,4
0.465288035450517,0.48729703247480405,0.6176470588235294,0.9753086419753086,0.8523489932885906,0.9122807017543859,0.01773049645390071,0.0,0.0625,0.47520650702055545,12.646971935007386,random+head,4,38,4
0.2614475627769572,0.29166083426651734,0.32745098039215687,0.9753086419753086,0.610738255033557,0.06140350877192982,0.0,0.0,0.8125,0.20467925533992334,6.432791728212703,random,5,38,4
0.2880354505169867,0.3534434490481523,0.38235294117647056,0.8518518518518519,0.5906040268456376,0.3333333333333333,0.0,0.0,0.6875,0.4552126116455118,8.776957163958642,random+head,5,38,4
0.4608567208271787,0.48031564949608063,0.6078431372549019,1.0,0.8859060402684564,0.868421052631579,0.0,0.0,0.8125,0.43949528556306855,9.880354505169867,random,6,38,4
0.2717872968980798,0.33241181410974247,0.3607843137254902,0.4444444444444444,0.6241610738255033,0.39473684210526316,0.03546099290780142,0.0,0.875,0.4228340859392757,14.230428360413589,random+head,6,38,4
0.3072378138847858,0.3268127099664054,0.2803921568627451,0.8765432098765432,0.4966442953020134,0.07894736842105263,0.19148936170212766,0.0,0.875,0.31447644152366405,7.019202363367799,random,7,38,4
0.4327917282127031,0.46754269316909297,0.5745098039215686,0.9382716049382716,0.9395973154362416,0.5877192982456141,0.03546099290780142,0.0,0.9375,0.4626340223726871,15.661742983751846,random+head,7,38,4
0.5598227474150664,0.5476973684210527,0.5666666666666667,1.0,0.9731543624161074,0.6228070175438597,0.2907801418439716,0.0,0.875,0.4736516112501777,10.223042836041358,random,8,38,4
0.32644017725258495,0.38124650055991044,0.43333333333333335,0.9506172839506173,0.6577181208053692,0.3508771929824561,0.02127659574468085,0.0,0.8125,0.43242508818974923,13.04135893648449,random+head,8,38,4
0.40029542097488924,0.34439739641657335,0.5098039215686274,0.8395061728395061,0.8791946308724832,0.631578947368421,0.0,0.0,0.75,0.2261733065242175,8.091580502215658,random,9,38,4
0.276218611521418,0.2797627379619261,0.36666666666666664,0.43209876543209874,0.912751677852349,0.10526315789473684,0.014184397163120567,0.0,0.8125,0.22387448760579237,9.471196454948302,random+head,9,38,4
0.3087149187592319,0.36077477603583424,0.40588235294117647,0.9876543209876543,0.37583892617449666,0.3157894736842105,0.11702127659574468,0.0784313725490196,0.0625,0.616640036509381,12.264401772525849,random,10,38,4
0.33382570162481534,0.3675986842105263,0.44313725490196076,0.4444444444444444,0.9261744966442953,0.38596491228070173,0.028368794326241134,0.0,0.8125,0.47124315791452687,13.989660265878877,random+head,10,38,4
0.7045790251107829,0.6988206886898096,0.9235294117647059,0.8518518518518519,0.8791946308724832,0.9385964912280702,0.5425531914893617,0.3333333333333333,0.125,1.1002950629939792,27.431314623338256,random,11,38,4
