turn,wall_clock_s,system_tokens,domain_tokens,durable_tokens,ephemeral_tokens,total_context_tokens,cache_hit_tokens,cache_miss_tokens,cache_write_tokens,token_cost,attention_cost,projection_cost_tokens,evictions,faults,projected
1,69.1,3000,15000,0,173,18173,18173,0,173,2033.5500000000002,330257929.0,0,0,0,False
2,142.25,3000,15000,0,333,18333,18333,0,160,2033.3000000000002,336098889.0,0,0,0,False
3,217.48000000000002,3000,15000,0,491,18491,18491,0,158,2046.6000000000001,341917081.0,0,0,0,False
4,301.43,3000,15000,2368,249,20617,20617,0,2617,7949.950000000001,425060689.0,2617,0,0,True
5,390.84000000000003,3000,15000,2368,359,20727,20727,0,110,2210.2000000000003,429608529.0,0,0,0,False
6,476.90000000000003,3000,15000,2368,535,20903,20903,0,176,2310.3,436935409.0,0,0,0,False
7,572.94,3000,15000,2368,713,21081,21081,0,178,2330.6,444408561.0,0,0,0,False
8,688.6700000000001,3000,15000,8026,294,26320,26320,0,8320,21352.0,692742400.0,8320,0,0,True
9,795.95,3000,15000,8026,463,26489,26489,0,169,2860.15,701667121.0,0,0,0,False
10,921.2900000000001,3000,15000,8026,1608,27634,27634,0,1145,4194.65,763637956.0,0,0,0,False
11,1046.98,3000,15000,10055,258,28313,28313,0,10313,26035.55,801625969.0,10313,0,0,True
12,1197.55,3000,15000,10055,961,29016,29016,0,703,3780.3500000000004,841928256.0,0,0,0,False
13,1374.92,3000,15000,16448,5042,39490,39490,0,21490,52301.5,1559460100.0,21490,0,0,True
14,1566.8600000000001,3000,15000,16448,5237,39685,39685,0,195,4212.25,1574899225.0,0,0,0,False
15,1770.3100000000002,3000,15000,20658,364,39022,39022,0,21022,51201.7,1522716484.0,21022,0,0,True
16,2026.7600000000002,3000,15000,20658,988,39646,39646,0,624,4744.6,1571805316.0,0,0,0,False
17,2185.88,3000,15000,12770,1160,31930,31930,0,13930,34535.5,1019524900.0,13930,0,0,True
18,2342.75,3000,15000,12770,1851,32621,32621,0,691,4125.85,1064129641.0,0,0,0,False
19,2491.23,3000,15000,10825,926,29751,29751,0,11751,29414.85,885122001.0,11751,0,0,True
20,2633.84,3000,15000,10825,1443,30268,30268,0,517,3673.05,916151824.0,0,0,0,False
21,2879.7400000000002,3000,15000,12754,848,31602,31602,0,13602,33764.7,998686404.0,13602,0,0,True
22,3255.88,3000,15000,13787,2312,34099,34099,0,16099,39632.65,1162741801.0,16099,0,0,True
23,3429.32,3000,15000,13787,3218,35005,35005,0,906,4633.0,1225350025.0,0,0,0,False
24,3585.46,3000,15000,11292,1050,30342,30342,0,12342,30803.7,920636964.0,12342,0,0,True
25,3723.48,3000,15000,11292,1602,30894,30894,0,552,3779.4,954439236.0,0,0,0,False
26,3894.66,3000,15000,13555,151,31706,31706,0,13706,34009.1,1005270436.0,13706,0,0,True
27,4011.1499999999996,3000,15000,13555,1255,32810,32810,0,1104,4661.0,1076496100.0,0,0,0,False
28,4138.57,3000,15000,13555,1809,33364,33364,0,554,4028.9,1113156496.0,0,0,0,False
29,4265.99,3000,15000,8151,673,26824,26824,0,8824,22536.4,719526976.0,8824,0,0,True
30,4409.889999999999,3000,15000,8151,1760,27911,27911,0,1087,4149.85,779023921.0,0,0,0,False
31,4574.74,3000,15000,12996,406,31402,31402,0,13402,33294.7,986085604.0,13402,0,0,True
32,4755.5199999999995,3000,15000,12996,686,31682,31682,0,280,3518.2000000000003,1003749124.0,0,0,0,False
33,4884.419999999999,3000,15000,8821,1066,27887,27887,0,9887,25034.45,777684769.0,9887,0,0,True
34,5024.669999999999,3000,15000,8821,2314,29135,29135,0,1248,4473.5,848848225.0,0,0,0,False
35,5139.599999999999,3000,15000,8821,2997,29818,29818,0,683,3835.55,889113124.0,0,0,0,False
36,5247.349999999999,3000,15000,6558,300,24858,24858,0,6858,17916.3,617920164.0,6858,0,0,True
37,5352.86,3000,15000,6558,509,25067,25067,0,209,2767.9500000000003,628354489.0,0,0,0,False
38,5456.63,3000,15000,6558,709,25267,25267,0,200,2776.7000000000003,638421289.0,0,0,0,False
39,5563.4400000000005,3000,15000,6492,175,24667,24667,0,6667,17467.45,608460889.0,6667,0,0,True
40,5662.320000000001,3000,15000,6492,11958,36450,36450,0,11783,18373.75,1328602500.0,0,0,0,False
41,5754.990000000001,3000,15000,6492,12072,36564,36564,0,114,3798.9,1336926096.0,0,0,0,False
42,5856.4800000000005,3000,15000,6492,12228,36720,36720,0,156,3867.0,1348358400.0,0,0,0,False
43,5969.740000000001,3000,15000,7582,303,25885,25885,0,7885,20329.75,670033225.0,7885,0,0,True
44,6106.870000000001,3000,15000,7582,1262,26844,26844,0,959,3883.15,720600336.0,0,0,0,False
45,6241.890000000001,3000,15000,7582,4353,29935,29935,0,3091,6857.25,896104225.0,0,0,0,False
46,6386.020000000001,3000,15000,8694,1492,28186,28186,0,10186,25737.1,794450596.0,10186,0,0,True
47,6522.790000000001,3000,15000,8694,3096,29790,29790,0,1604,4984.0,887444100.0,0,0,0,False
48,6645.990000000001,3000,15000,8694,3261,29955,29955,0,165,3201.75,897302025.0,0,0,0,False
49,6788.02,3000,15000,10802,2037,30839,30839,0,12839,31971.65,951043921.0,12839,0,0,True
50,6928.34,3000,15000,10802,2154,30956,30956,0,117,3241.8500000000004,958273936.0,0,0,0,False
51,7082.610000000001,3000,15000,10802,2880,31682,31682,0,726,4075.7000000000003,1003749124.0,0,0,0,False
52,7223.410000000001,3000,15000,11808,854,30662,30662,0,12662,31555.7,940158244.0,12662,0,0,True
53,7322.680000000001,3000,15000,11808,2395,32203,32203,0,1541,5146.55,1037033209.0,0,0,0,False
54,7447.050000000001,3000,15000,11808,6800,36608,36608,0,4405,9167.05,1340145664.0,0,0,0,False
55,7569.810000000001,3000,15000,8033,576,26609,26609,0,8609,22031.15,708038881.0,8609,0,0,True
56,7698.720000000001,3000,15000,8033,5045,31078,31078,0,4469,8694.05,965842084.0,0,0,0,False
57,7829.880000000001,3000,15000,8033,10235,36268,36268,0,5190,10114.3,1315367824.0,0,0,0,False
58,7955.580000000001,3000,15000,8413,764,27177,27177,0,9177,23365.95,738589329.0,9177,0,0,True
59,8078.830000000001,3000,15000,8413,1715,28128,28128,0,951,4001.55,791184384.0,0,0,0,False
60,8214.92,3000,15000,8413,2208,28621,28621,0,493,3478.3500000000004,819161641.0,0,0,0,False
61,8356.11,3000,15000,10529,327,28856,28856,0,10856,27311.6,832668736.0,10856,0,0,True
62,8506.480000000001,3000,15000,10529,1776,30305,30305,0,1449,4841.75,918393025.0,0,0,0,False
63,8671.240000000002,3000,15000,12702,428,31130,31130,0,13130,32655.5,969076900.0,13130,0,0,True
64,8801.280000000002,3000,15000,12702,522,31224,31224,0,94,3239.9,974938176.0,0,0,0,False
65,8929.860000000002,3000,15000,12702,679,31381,31381,0,157,3334.3500000000004,984767161.0,0,0,0,False
66,9067.800000000003,3000,15000,9693,179,27872,27872,0,9872,24999.2,776848384.0,9872,0,0,True
67,9214.200000000003,3000,15000,9693,1011,28704,28704,0,832,3910.4,823919616.0,0,0,0,False
68,9324.670000000002,3000,15000,9693,1998,29691,29691,0,987,4202.85,881555481.0,0,0,0,False
69,9446.700000000003,3000,15000,8289,6570,32859,32859,0,14859,36718.65,1079713881.0,14859,0,0,True
70,9574.280000000002,3000,15000,8289,13199,39488,39488,0,6629,12235.05,1559302144.0,0,0,0,False
71,9690.390000000003,3000,15000,8289,13966,40255,40255,0,767,4984.25,1620465025.0,0,0,0,False
72,9797.910000000003,3000,15000,6230,578,24808,24808,0,6808,17798.8,615436864.0,6808,0,0,True
73,9911.700000000004,3000,15000,6230,1072,25302,25302,0,494,3147.7000000000003,640191204.0,0,0,0,False
74,10039.970000000005,3000,15000,6230,1646,25876,25876,0,574,3305.1000000000004,669567376.0,0,0,0,False
75,10191.280000000004,3000,15000,10458,1840,30298,30298,0,12298,30700.3,917968804.0,12298,0,0,True
76,10330.450000000004,3000,15000,10458,3568,32026,32026,0,1728,5362.6,1025664676.0,0,0,0,False
77,10473.450000000004,3000,15000,10458,4284,32742,32742,0,716,4169.200000000001,1072038564.0,0,0,0,False
78,10602.460000000005,3000,15000,4585,310,22895,22895,0,4895,13303.25,524181025.0,4895,0,0,True
79,10706.030000000004,3000,15000,4585,848,23433,23433,0,538,3015.8,549105489.0,0,0,0,False
80,10824.240000000003,3000,15000,4585,1121,23706,23706,0,273,2711.85,561974436.0,0,0,0,False
81,10951.590000000004,3000,15000,8699,751,27450,27450,0,9450,24007.5,753502500.0,9450,0,0,True
82,11093.070000000003,3000,15000,8699,1242,27941,27941,0,491,3407.8500000000004,780699481.0,0,0,0,False
83,11201.540000000003,3000,15000,8699,1553,28252,28252,0,311,3213.9500000000003,798175504.0,0,0,0,False
